Positive,Negative,Neutral,Time
0.239,0.0,0.761,2012-04-06
0.261,0.0,0.739,2012-03-16
0.383,0.0,0.617,2012-03-07
0.174,0.04,0.786,2012-03-05
0.27,0.0,0.73,2012-01-30
0.166,0.083,0.751,2012-01-24
0.299,0.108,0.593,2012-01-16
0.229,0.0,0.771,2012-01-09
0.171,0.0,0.829,2012-01-09
0.074,0.0,0.926,2012-01-05
0.113,0.0,0.887,2011-12-02
0.272,0.0,0.728,2011-11-20
0.147,0.072,0.781,2011-09-11
0.129,0.078,0.793,2011-05-07
0.257,0.054,0.69,2011-05-06
0.384,0.0,0.616,2011-03-24
0.058,0.044,0.898,2011-03-20
0.072,0.055,0.873,2011-02-17
0.143,0.077,0.78,2011-02-13
0.195,0.042,0.763,2011-01-25
0.287,0.0,0.713,2010-12-18
0.263,0.0,0.737,2010-11-24
0.155,0.0,0.845,2010-11-21
0.223,0.034,0.743,2010-11-08
0.164,0.054,0.782,2010-11-05
0.5,0.0,0.5,2010-10-18
0.397,0.0,0.603,2010-08-12
0.301,0.0,0.699,2010-02-21
0.064,0.082,0.854,2010-01-20
0.316,0.0,0.684,2009-11-16
0.436,0.0,0.564,2009-11-13
0.239,0.045,0.717,2009-10-21
0.19,0.066,0.743,2009-08-19
0.099,0.08,0.821,2009-08-05
0.093,0.037,0.87,2009-06-16
0.108,0.099,0.794,2009-06-15
0.113,0.019,0.868,2009-06-11
0.162,0.0,0.838,2009-03-18
0.228,0.0,0.772,2009-01-15
0.147,0.009,0.845,2009-01-12
0.174,0.008,0.818,2009-01-12
0.0,0.049,0.951,2009-01-10
0.043,0.0,0.957,2008-09-15
0.273,0.051,0.676,2008-09-11
0.435,0.0,0.565,2008-08-27
0.314,0.0,0.686,2008-07-30
0.237,0.013,0.75,2008-07-30
0.415,0.0,0.585,2008-07-28
0.32,0.066,0.614,2008-07-26
0.238,0.034,0.728,2008-07-14
0.177,0.0,0.823,2008-07-08
0.103,0.245,0.652,2008-07-06
0.565,0.0,0.435,2008-07-06
0.249,0.022,0.728,2008-07-05
0.395,0.0,0.605,2008-07-05
0.138,0.0,0.862,2008-07-04
0.145,0.088,0.767,2008-06-30
0.239,0.0,0.761,2008-06-29
0.182,0.0,0.818,2008-06-21
0.091,0.0,0.909,2008-06-21
0.114,0.179,0.707,2008-06-20
0.139,0.0,0.861,2008-06-11
0.237,0.0,0.763,2008-06-03
0.241,0.055,0.704,2008-05-15
0.283,0.0,0.717,2008-03-28
0.089,0.056,0.855,2008-02-22
0.254,0.1,0.645,2008-02-22
0.212,0.0,0.788,2008-02-20
0.446,0.0,0.554,2008-01-27
0.142,0.059,0.799,2007-12-04
0.212,0.025,0.762,2007-08-09
0.055,0.041,0.904,2007-07-12
0.322,0.0,0.678,2007-07-03
0.046,0.067,0.887,2007-03-08
0.38,0.0,0.62,2008-06-21
0.285,0.0,0.715,2012-10-02
0.165,0.082,0.753,2012-01-31
0.168,0.016,0.816,2011-09-22
0.268,0.0,0.732,2010-12-17
0.238,0.017,0.745,2010-10-23
0.212,0.147,0.641,2009-07-17
0.099,0.138,0.763,2009-01-31
0.237,0.12,0.642,2009-09-12
0.304,0.052,0.643,2008-01-19
0.142,0.079,0.779,2011-08-27
0.105,0.0,0.895,2011-02-07
0.16,0.029,0.81,2010-12-16
0.125,0.023,0.852,2010-12-02
0.319,0.0,0.681,2010-11-30
0.172,0.092,0.736,2010-07-14
0.311,0.0,0.689,2010-02-01
0.354,0.0,0.646,2009-12-25
0.0,0.0,1.0,2009-11-19
0.253,0.011,0.736,2009-10-11
0.316,0.0,0.684,2009-08-26
0.217,0.032,0.751,2008-04-02
0.096,0.086,0.818,2007-07-28
0.218,0.045,0.737,2008-01-18
0.232,0.038,0.73,2009-01-11
0.218,0.0,0.782,2008-02-11
0.16,0.051,0.79,2007-03-24
0.151,0.047,0.802,2009-09-27
0.26,0.03,0.71,2012-01-28
0.244,0.0,0.756,2009-02-18
0.164,0.069,0.766,2008-06-28
0.234,0.0,0.766,2008-08-31
0.0,0.0,1.0,2008-06-22
0.13,0.045,0.824,2007-07-12
0.018,0.065,0.918,2010-09-23
0.174,0.069,0.757,2012-05-19
0.045,0.236,0.72,2012-03-16
0.0,0.128,0.872,2012-02-07
0.168,0.045,0.788,2011-06-26
0.069,0.087,0.844,2009-06-15
0.052,0.013,0.935,2010-09-28
0.203,0.044,0.752,2008-04-24
0.117,0.14,0.742,2012-02-11
0.149,0.193,0.658,2012-02-05
0.0,0.357,0.643,2011-06-01
0.133,0.054,0.813,2010-10-13
0.111,0.142,0.746,2009-12-29
0.341,0.0,0.659,2009-11-01
0.172,0.0,0.828,2008-01-06
0.133,0.0,0.867,2009-04-06
0.0,0.144,0.856,2010-05-05
0.199,0.0,0.801,2010-09-18
0.084,0.0,0.916,2009-02-19
0.073,0.0,0.927,2008-07-08
0.07,0.0,0.93,2012-03-03
0.158,0.096,0.745,2008-11-17
0.071,0.269,0.66,2010-11-04
0.13,0.115,0.755,2010-10-05
0.282,0.0,0.718,2007-09-03
0.062,0.09,0.847,2011-04-09
0.031,0.093,0.876,2011-02-27
0.084,0.12,0.795,2011-01-06
0.177,0.026,0.797,2008-02-26
0.168,0.0,0.832,2007-10-15
0.392,0.0,0.608,2007-03-28
0.0,0.177,0.823,2012-04-06
0.151,0.114,0.735,2012-02-13
0.077,0.026,0.897,2012-01-07
0.197,0.0,0.803,2011-12-09
0.249,0.0,0.751,2011-10-05
0.175,0.01,0.815,2009-09-05
0.164,0.018,0.818,2009-04-21
0.0,0.0,1.0,2009-03-29
0.147,0.009,0.845,2009-01-12
0.399,0.0,0.601,2008-10-03
0.146,0.019,0.835,2011-10-04
0.219,0.0,0.781,2009-08-04
0.464,0.0,0.536,2012-10-09
0.198,0.0,0.802,2012-10-03
0.143,0.0,0.857,2012-09-27
0.308,0.043,0.649,2012-09-21
0.093,0.0,0.907,2012-08-04
0.0,0.091,0.909,2012-06-03
0.134,0.081,0.785,2012-04-10
0.196,0.083,0.721,2012-04-06
0.221,0.0,0.779,2012-02-02
0.135,0.116,0.75,2012-01-31
0.19,0.0,0.81,2012-01-27
0.123,0.016,0.861,2012-01-26
0.174,0.0,0.826,2011-07-01
0.111,0.0,0.889,2011-05-28
0.217,0.056,0.726,2010-12-27
0.101,0.042,0.857,2010-11-11
0.138,0.031,0.831,2010-10-29
0.133,0.022,0.845,2010-08-01
0.203,0.0,0.797,2010-02-22
0.078,0.063,0.859,2009-11-03
0.283,0.146,0.571,2009-08-01
0.257,0.051,0.693,2009-07-01
0.149,0.186,0.665,2009-06-15
0.311,0.05,0.639,2009-05-14
0.166,0.007,0.827,2009-03-15
0.147,0.009,0.845,2008-12-16
0.17,0.0,0.83,2008-08-15
0.163,0.0,0.837,2008-07-29
0.233,0.085,0.682,2008-07-28
0.253,0.014,0.733,2008-07-21
0.063,0.061,0.875,2008-07-08
0.146,0.02,0.834,2008-07-04
0.2,0.088,0.713,2008-06-03
0.191,0.052,0.758,2008-05-30
0.067,0.147,0.786,2008-02-12
0.254,0.0,0.746,2007-08-12
0.159,0.039,0.801,2007-05-04
0.27,0.024,0.706,2008-05-22
0.3,0.0,0.7,2007-12-18
0.306,0.0,0.694,2007-11-06
0.125,0.0,0.875,2007-09-30
0.401,0.0,0.599,2007-05-28
0.108,0.075,0.817,2011-05-25
0.055,0.157,0.788,2011-02-17
0.334,0.039,0.627,2007-03-28
0.217,0.077,0.707,2012-05-09
0.133,0.0,0.867,2010-09-03
0.275,0.028,0.697,2009-06-15
0.13,0.078,0.792,2009-06-03
0.265,0.061,0.674,2008-08-06
0.0,0.053,0.947,2007-12-21
0.283,0.13,0.587,2007-10-27
0.053,0.029,0.918,2007-10-03
0.31,0.0,0.69,2012-10-16
0.124,0.01,0.866,2012-09-12
0.186,0.041,0.773,2012-09-08
0.179,0.213,0.608,2012-08-14
0.086,0.187,0.728,2012-05-28
0.093,0.05,0.856,2012-05-11
0.316,0.095,0.589,2012-05-10
0.244,0.034,0.722,2012-05-06
0.236,0.03,0.734,2012-04-16
0.064,0.0,0.936,2012-01-14
0.201,0.0,0.799,2011-11-23
0.176,0.031,0.793,2011-07-06
0.295,0.02,0.685,2011-01-21
0.339,0.076,0.585,2012-06-16
0.306,0.0,0.694,2012-01-02
0.149,0.021,0.83,2011-06-27
0.204,0.096,0.7,2011-12-09
